,Year,Netflix,Prime Video,Type,Hulu,ID,Disney+
0,2019,1.0,0,0,0,1,0
1,2016,1.0,0,0,0,2,0
2,2020,1.0,0,0,0,3,0
3,2001,1.0,0,0,0,4,0
4,2018,1.0,0,0,0,5,0
5,2018,1.0,0,0,0,6,0
6,2020,1.0,0,0,0,7,0
7,2017,1.0,0,0,0,8,0
8,2018,1.0,0,0,0,9,0
9,2020,1.0,0,0,0,10,0
10,2019,1.0,0,0,0,11,0
11,2017,1.0,0,0,0,12,0
12,2019,1.0,0,0,0,13,0
13,2017,1.0,0,0,0,14,0
14,2004,1.0,0,0,0,15,0
15,2019,1.0,0,0,0,16,0
16,2020,1.0,0,0,0,17,0
17,2014,1.0,0,0,0,18,0
18,2004,1.0,0,0,0,19,0
19,2015,1.0,0,0,0,20,0
20,2019,1.0,0,0,0,21,0
21,2018,1.0,0,0,0,22,0
22,2019,1.0,0,0,0,23,0
23,2019,1.0,0,0,0,24,0
24,2006,1.0,0,0,0,25,0
25,2015,1.0,0,0,0,26,0
26,1991,1.0,0,0,0,27,0
27,2019,1.0,0,0,0,28,0
28,2012,1.0,0,0,0,29,0
29,2020,1.0,0,0,0,30,0
30,2019,1.0,0,0,0,31,0
31,2020,1.0,0,0,0,32,0
32,2016,1.0,0,0,0,33,0
33,2020,1.0,0,0,0,34,0
34,2017,1.0,0,0,0,35,0
35,2017,1.0,0,0,0,36,0
36,2010,1.0,0,0,0,37,0
37,2019,1.0,0,0,0,38,0
38,2011,1.0,0,0,0,39,0
39,2019,1.0,0,0,0,40,0
40,2013,1.0,0,0,0,41,0
41,2020,1.0,0,0,0,42,0
42,2020,1.0,0,0,0,43,0
43,2020,1.0,0,0,0,44,0
44,2005,1.0,0,0,0,45,0
45,2001,1.0,0,0,0,46,0
46,2020,1.0,0,0,0,47,0
47,2019,1.0,0,0,0,48,0
48,2018,1.0,0,0,0,49,0
49,2020,1.0,0,0,0,50,0
50,2018,1.0,0,0,0,51,0
51,1998,1.0,0,0,0,52,0
52,2018,1.0,0,0,0,53,0
53,2019,1.0,0,0,0,54,0
54,2018,1.0,0,0,0,55,0
55,2002,1.0,0,0,0,56,0
